timestamp	open	high	low	close	volume
2016-08-31	104.41	110.23	104.0062	106.1	630128500
2016-07-29	95.49	104.55	94.37	104.21	685779600
2016-06-30	99.02	101.89	91.5	95.6	779497700
2016-05-31	93.965	100.73	89.47	99.86	900671500
2016-04-29	108.78	112.39	92.5119	93.74	872383700
2016-03-31	97.65	110.42	97.4141	108.99	746049600
2016-02-29	96.47	98.89	92.5937	96.69	810862600
2016-01-29	102.61	105.85	92.39	97.34	1271848000
2015-12-31	118.75	119.86	104.82	105.26	921915200
2015-11-30	119.87	123.82	111.0	118.3	750640600
2015-10-30	109.07	121.22	107.31	119.5	1112512100
2015-09-30	110.15	116.89	107.36	110.3	1206547300
2015-08-31	121.5	122.57	92.0	112.76	1606819100
2015-07-31	126.9	132.97	119.22	121.3	1058280600
2015-06-30	131.2	131.39	124.48	125.425	878606700
2015-05-29	126.1	132.97	123.36	130.28	954152100
2015-04-30	124.82	134.54	123.1	125.15	996135500
2015-03-31	129.25	130.28	121.63	124.43	1138642100
2015-02-27	118.05	133.6	116.08	128.46	1136535200
2015-01-30	111.39	120.0	104.63	117.16	1305263400
2014-12-31	118.81	119.25	106.26	110.38	1073594600
2014-11-28	108.2221	119.75	107.72	118.93	820408200
2014-10-31	100.59	108.04	95.18	108.0	1360280200
2014-09-30	103.06	103.74	96.14	100.75	1526420000
2014-08-29	94.9	102.9	93.28	102.5	937077000
2014-07-31	93.52	99.44	92.57	95.6	1035086000
2014-06-30	633.96	651.26	89.65	92.93	1206934800
2014-05-30	592.0	644.17	580.33	633.0	1433917100
2014-04-30	537.76	599.43	511.33	590.09	1608765200
2014-03-31	523.42	549.0	522.81	536.74	1250424700
2014-02-28	502.61	551.19	499.3	526.24	1470091700
2014-01-31	555.68	560.2	493.55	500.6	2191488600
2013-12-31	557.963	575.0961	538.8	561.02	1764349300
2013-11-29	524.02	558.33	512.38	556.07	1306288900
2013-10-31	478.45	539.25	478.28	522.702	1959433000
2013-09-30	493.1	507.92	447.22	476.75	2157735300
2013-08-30	455.753	513.74	453.26	487.216	2014584600
2013-07-31	402.69	457.371	401.22	452.53	1634528700
2013-06-28	450.73	454.4095	388.87	396.53	1754634000
2013-05-31	444.46	465.75	418.9	449.735	2361882600
2013-04-30	441.9	445.25	385.1	442.78	2740872400
2013-03-28	438.0	469.95	419.0	442.66	2294219200
2013-02-28	459.11	484.94	437.66	441.4	2336008500
2013-01-31	553.82	555.0	435.0	455.49	3280855900
2012-12-31	593.65	594.59	501.23	532.173	3033188200
2012-11-30	598.22	603.0	505.75	585.28	3232462800
